ID,ODNB_ID,displayName,prefix,firstName,lastName,suffix,title,gender,birthYearType,birthYear,deathYearType,deathYear
10050057,24801,Peter Gaspar Scheemakers,,Peter,Scheemakers,,,male,IN,1691,IN,1781
10050059,,Pierre-Denis Plumier ,,Pierre-Denis,Plumier,,,male,IN,1688,IN,1721
10050058,,Peeter Scheemakers ,,Peeter,Scheemakers,,,male,IN,1652,IN,1714
10003082,65273,Henry Crossgrove,,Henry,Crossgrove,,,male,IN,1683,IN,1744
10012401,28391,Thomas Wadsworth,,Thomas,Wadsworth,,,male,IN,1630,IN,1676
10006399,14241,John Huntington,,John,Huntington,,,male,AF,1473,IN,1583
10003822,28081,Sir Anthony Van Dyck,Sir,Anthony Van,Dyck,,,male,IN,1599,IN,1641
10054824,,Hester Honywood,,Hester,Honywood,,Lady ,female,IN,1607,IN,1681
10010268,66371,Alexander Richardson,,Alexander,Richardson,,,male,AF,1511,BF/IN,1621
10010250,23485,Jeremiah Rich,,Jeremiah,Rich,,,male,AF,1556,IN,1666
10012874,29402,Sir William Wilde,Sir,William,Wilde,,,male,IN,1611,IN,1679
10011790,26953,Francis Tallents,,Francis,Tallents,,,male,IN,1619,IN,1708
10009676,22161,John Phillips,,John,Phillips,,,male,IN,1631,CA,1706
10009088,20591,Sir Alexander Ogilvy,Sir,Alexander,Ogilvy,,,male,AF,1617,IN,1727
10006226,13862,John Hough,,John,Hough,,,male,IN,1651,IN,1743
10004870,10768,Thomas Gipps,,Thomas,Gipps,,,male,AF,1599,IN,1709
10005178,11457,David Gregorie,,David,Gregorie,,,male,IN,1625,IN,1720
10010979,25304,Gilbert Sheldon,,Gilbert,Sheldon,,,male,IN,1598,IN,1677
10009202,21012,James Owen,,James,Owen,,,male,IN,1654,IN,1706
10010504,24213,John Rowland,,John,Rowland,,,male,IN,1605,IN,1680
10000133,68011,Sir John Allen,Sir,John,Allen,,,male,IN,1470,IN,1544
10002447,69162,John Churchill,,John,Churchill,,,male,IN,1663,IN,1714
